,Crop,Crop_Year,Season,State,Annual_Rainfall,Yield,Fertilizer_per_ha,Pesticide_per_ha
1,arhar/tur,1997,kharif,assam,2051.4,0.710434783,95.17,0.30999999999999994
2,castor seed,1997,kharif,assam,2051.4,0.238333333,95.17,0.31
4,cotton(lint),1997,kharif,assam,2051.4,0.420909091,95.17,0.31
5,dry chillies,1997,whole year,assam,2051.4,0.643636364,95.17,0.31
6,gram,1997,rabi,assam,2051.4,0.465454545,95.17,0.31
7,jute,1997,kharif,assam,2051.4,9.919565217,95.17,0.31
8,linseed,1997,rabi,assam,2051.4,0.461363636,95.17,0.31
9,maize,1997,kharif,assam,2051.4,0.615652174,95.17,0.31
10,mesta,1997,kharif,assam,2051.4,4.568947368,95.17,0.31
11,niger seed,1997,whole year,assam,2051.4,0.482352941,95.17,0.31
12,onion,1997,whole year,assam,2051.4,2.342608696,95.16999999999999,0.31
13,other  rabi pulses,1997,rabi,assam,2051.4,0.520869565,95.17,0.31
14,potato,1997,whole year,assam,2051.4,7.561304348,95.17,0.31
15,rapeseed &mustard,1997,rabi,assam,2051.4,0.554782609,95.17,0.31
16,rice,1997,autumn,assam,2051.4,0.780869565,95.17,0.31
17,rice,1997,summer,assam,2051.4,1.060434783,95.17,0.31
18,rice,1997,winter,assam,2051.4,0.941304348,95.17000001720854,0.31
19,sesamum,1997,whole year,assam,2051.4,0.487391304,95.17,0.31
20,small millets,1997,kharif,assam,2051.4,0.473,95.17,0.31
21,sugarcane,1997,kharif,assam,2051.4,41.89695652,95.17,0.31
22,sweet potato,1997,whole year,assam,2051.4,3.440434783,95.17,0.31
23,tapioca,1997,whole year,assam,2051.4,4.41826087,95.17,0.31
24,tobacco,1997,whole year,assam,2051.4,0.38,95.17,0.31
25,turmeric,1997,whole year,assam,2051.4,0.67,95.17,0.31
26,wheat,1997,rabi,assam,2051.4,1.25952381,95.17,0.31
28,arhar/tur,1997,kharif,karnataka,1266.7,0.268235294,95.17,0.31
29,bajra,1997,kharif,karnataka,1266.7,0.404545455,95.16999999999999,0.31
30,bajra,1997,summer,karnataka,1266.7,0.81,95.16999999999999,0.31
31,black pepper,1997,kharif,karnataka,1266.7,0.4375,95.17,0.31
32,cardamom,1997,whole year,karnataka,1266.7,0.058571429,95.17,0.31
33,coriander,1997,whole year,karnataka,1266.7,0.121333333,95.16999999999999,0.31
34,dry chillies,1997,kharif,karnataka,1266.7,1.078333333,95.17,0.31
35,dry chillies,1997,rabi,karnataka,1266.7,1.869444444,95.17,0.31
36,garlic,1997,whole year,karnataka,1266.7,1.585,95.17,0.31
37,ginger,1997,kharif,karnataka,1266.7,1.262307692,95.17,0.31000000000000005
38,groundnut,1997,kharif,karnataka,1266.7,0.709411765,95.17,0.31
39,groundnut,1997,rabi,karnataka,1266.7,1.133333333,95.16999999999999,0.31
